vol (cc),p (bar),CA,Avg p (kPa)
276.33,-2.719,-162,29.8
275.85,-2.685,-161,27.5
275.34,-2.765,-160,24.1
274.8,-2.753,-159,23.55
274.23,-2.776,-158,26.95
273.64,-2.685,-157,24.1
273.03,-2.833,-156,21.25
272.38,-2.742,-155,25.25
271.71,-2.753,-154,24.1
271.01,-2.765,-153,22.35
270.28,-2.788,-152,19.5
269.53,-2.822,-151,18.95
268.75,-2.799,-150,17.85
267.95,-2.844,-149,16.7
267.11,-2.822,-148,17.25
266.25,-2.833,-147,19.55
265.37,-2.776,-146,22.4
264.45,-2.776,-145,24.1
263.51,-2.742,-144,27.5
262.54,-2.708,-143,28.05
261.55,-2.731,-142,29.2
260.52,-2.685,-141,31.5
259.47,-2.685,-140,33.75
258.4,-2.64,-139,37.15
257.29,-2.617,-138,33.2
256.16,-2.719,-137,31.5
255,-2.651,-136,41.15
253.82,-2.526,-135,42.85
252.61,-2.617,-134,41.15
251.37,-2.56,-133,42.3
250.1,-2.594,-132,40
248.81,-2.606,-131,41.15
247.49,-2.571,-130,42.9
246.14,-2.571,-129,46.3
244.77,-2.503,-128,42.85
243.37,-2.64,-127,41.15
241.95,-2.537,-126,43.45
240.5,-2.594,-125,45.15
239.02,-2.503,-124,45.7
237.52,-2.583,-123,45.7
235.99,-2.503,-122,50.25
234.44,-2.492,-121,47.95
232.86,-2.549,-120,47.95
231.25,-2.492,-119,52.5
229.63,-2.458,-118,51.95
227.97,-2.503,-117,52.55
226.29,-2.446,-116,54.8
224.59,-2.458,-115,61.6
222.87,-2.31,-114,66.75
221.12,-2.355,-113,63.9
219.34,-2.367,-112,61.05
217.55,-2.412,-111,62.75
215.73,-2.333,-110,62.75
213.89,-2.412,-109,61.65
212.03,-2.355,-108,64.5
210.14,-2.355,-107,61.65
208.24,-2.412,-106,59.35
206.31,-2.401,-105,59.9
204.37,-2.401,-104,61.6
202.4,-2.367,-103,65
200.42,-2.333,-102,68.45
198.41,-2.298,-101,63.9
196.39,-2.424,-100,63.9
194.35,-2.298,-99,70.75
192.29,-2.287,-98,68.45
190.22,-2.344,-97,68.45
188.13,-2.287,-96,69
186.02,-2.333,-95,70.7
183.9,-2.253,-94,72.45
181.77,-2.298,-93,73.6
179.62,-2.23,-92,77
177.45,-2.23,-91,80.4
175.28,-2.162,-90,82.65
173.09,-2.185,-89,80.95
170.89,-2.196,-88,80.4
168.68,-2.196,-87,77.55
166.46,-2.253,-86,78.1
164.23,-2.185,-85,77.55
161.99,-2.264,-84,78.15
159.74,-2.173,-83,83.25
157.49,-2.162,-82,85.5
155.23,-2.128,-81,86.65
152.97,-2.139,-80,88.35
150.7,-2.094,-79,90.6
148.43,-2.094,-78,94.6
146.15,-2.014,-77,103.7
143.87,-1.912,-76,107.7
141.59,-1.934,-75,111.15
139.31,-1.843,-74,115.1
137.03,-1.855,-73,116.2
134.75,-1.821,-72,117.35
132.48,-1.832,-71,121.35
130.2,-1.741,-70,123.65
127.93,-1.786,-69,123.65
125.67,-1.741,-68,127.6
123.41,-1.707,-67,129.9
121.15,-1.695,-66,132.2
118.91,-1.661,-65,135
116.67,-1.639,-64,138.95
114.44,-1.582,-63,142.95
112.22,-1.559,-62,145.8
110.02,-1.525,-61,150.35
107.82,-1.468,-60,154.9
105.64,-1.434,-59,156.6
103.47,-1.434,-58,158.9
101.32,-1.388,-57,162.9
99.18,-1.354,-56,170.85
97.06,-1.229,-55,175.4
94.96,-1.263,-54,177.7
92.88,-1.183,-53,188.5
90.81,-1.047,-52,198.7
88.77,-0.979,-51,202.7
86.75,-0.967,-50,208.4
84.75,-0.865,-49,211.8
82.77,-0.899,-48,216.35
80.82,-0.774,-47,224.3
78.89,-0.74,-46,231.15
76.99,-0.637,-45,244.8
75.12,-0.467,-44,252.75
73.27,-0.478,-43,256.75
71.45,-0.387,-42,264.7
69.66,-0.319,-41,274.35
67.91,-0.194,-40,282.35
66.18,-0.159,-39,286.35
64.49,-0.114,-38,295.45
62.82,0.023,-37,311.4
61.2,0.205,-36,325.05
59.6,0.296,-35,337.55
58.05,0.455,-34,351.2
56.52,0.569,-33,359.15
55.04,0.614,-32,371.1
53.59,0.808,-31,385.9
52.18,0.91,-30,395
50.81,0.99,-29,408.65
49.48,1.183,-28,423.4
48.19,1.285,-27,440.45
46.95,1.524,-26,455.85
45.74,1.593,-25,467.25
44.57,1.752,-24,486.55
43.45,1.979,-23,501.35
42.37,2.048,-22,516.75
41.34,2.287,-21,542.9
40.35,2.571,-20,558.8
39.4,2.605,-19,571.3
38.5,2.821,-18,596.35
37.65,3.106,-17,624.8
36.84,3.39,-16,646.4
36.08,3.538,-15,661.2
35.37,3.686,-14,686.8
34.7,4.05,-13,719.8
34.08,4.346,-12,741.4
33.51,4.482,-11,762.45
32.99,4.767,-10,786.95
32.52,4.972,-9,813.1
32.1,5.29,-8,842.65
31.72,5.563,-7,866
31.4,5.757,-6,888.2
31.12,6.007,-5,917.2
30.9,6.337,-4,941.65
30.72,6.496,-3,958.15
30.6,6.667,-2,976.95
30.52,6.872,-1,998.55
30.5,7.099,0,1026.4
30.52,7.429,1,1054.85
30.6,7.668,2,1078.75
30.72,7.907,3,1101.5
30.9,8.123,4,1132.8
31.12,8.533,5,1172.65
31.4,8.92,6,1211.3
31.72,9.306,7,1256.2
32.1,9.818,8,1314.8
32.52,10.478,9,1389.35
32.99,11.309,10,1465.6
33.51,12.003,11,1537.85
34.08,12.754,12,1622.6
34.7,13.698,13,1720.45
35.37,14.711,14,1832.5
36.08,15.939,15,1977.55
36.84,17.612,16,2086.8
37.65,18.124,17,2143.1
38.5,18.738,18,2257.45
39.4,20.411,19,2444.6
40.35,22.481,20,2587.35
41.34,23.266,21,2677.8
42.37,24.29,22,2841.65
43.45,26.543,23,2936.65
44.57,26.19,24,2825.7
45.74,24.324,25,2773.35
46.95,25.143,26,2894.55
48.19,26.748,27,2950.3
49.48,26.258,28,2848.45
50.81,24.711,29,2785.35
52.18,24.996,30,2836
53.59,25.724,31,2812.65
55.04,24.529,32,2676.1
56.52,22.993,33,2618.65
58.05,23.38,34,2646.55
59.6,23.551,35,2576.6
61.2,21.981,36,2426.95
62.82,20.558,37,2360.95
64.49,20.661,38,2366.65
66.18,20.672,39,2307.5
67.91,19.478,40,2180.65
69.66,18.135,41,2091.9
